position,skills
Associate/Senior Associate -(NonTechnical),"Sales Associate,support,Voice process,Issue,Senior,Technical,Inbound calls,Bonus,US shift,Software"
Associate/Senior Associate -(Technical),"MCSE,Database,Support Engineer"
Software Developer,"SSRS,SQL Server,Stored Procedures,SQL Development,MS SQL"
Software Developer,"GIT,Linux,Machine Learning,Python"
Nurse,"GNM,Business Executive"
Direct Marketing Executive,"institutions,relationships,marketing executive,customer,customers,implementation,company,site,product"
HR Executive,"Recruitment,Volume Hiring,HR,BPO Hiring,Sourcing,Interviewing,Onboarding,Staffing,Orientation,Human Resource Management"
Software Developer,"Java,CSS,Rest,Spring Mvc,Javascript,HTML,JPA,Spring Boot,JQuery,Web Services"
Head/VP/GM-Finance/Audit,"financial analysis,financial planning,taxation,VP Finance"
Content Developer,"Publishing,SEO,Content management,Social media,Wordpress,Management systems,Research,Brand awareness,Web technologies,Journalism"
Head/VP/GM-CFO/Financial Controller,"Auditing,Audit Planning,Risk Assessment,Banking,Credit Risk,Credit Policy"
Software Developer,"c++,development,gaming,C,software,HTML,ios,opengl,iphone,design,MySQL,JavaScript"
Sales Executive/Officer,"business development,e - commerce,sales executive,sales associate,sales officer,sales,field sales,mba fresher,fresher,new product development,channel sales"
Software Developer,"rest,java,sql,oop,angularjs,ui development,oracle"
Software Developer,"Javascript,PHP,HTML,Visualization,jQuery,web,Programming,Commerce,Web designing,Application,Android"
Team Lead/Technical Lead,"Process automation,Commodity Markets,Artificial Intelligence,Market intelligence,Machine learning,Corporate,Relationship,Operations,Analytics,Robotics"
Sales/Business Development Manager,"IT Sales,Marketing Campaigns,Social Media,Btl,Marketing Management,Digital Marketing,Dealer Sales,Channel Partners,Communication Skills,Process Flow"
Software Developer,"Android,Troubleshooting,Middleware,Firmware,SOC,Linux kernel,Bluetooth,Computer science,Test scripts,Test strategy"
Associate/Senior Associate -(NonTechnical),"Outbound,Antivirus,Technical support,Voice process,Technical Support Executive,US shift,Inbound voice process,Customer Service Executive,Comp,International BPO"
Sales Executive/Officer,"Sales Executive,Cold calling,market research,customer profiling,sales executive,marketing executive,distributors,Business Development,sales strategy"
Recruitment Executive,"Administration,HR,Recruitment,Recruitment Executive,IR"
Technical Architect,"Web development,Analytics,Healthcare,Software design,Monitoring,JIRA,Computer science,Backend,Inside sales,Cloud"
Branch Manager,"Team Management,Advisory Services,General Insurance,Sales Initiatives,Financial Products,Distributor Sales,Branch Sales,Sales Development,Motor Insurance,Marketing"
Sales Executive/Officer,"clinical pharmacy,mr,sales officer,territory executive,business development,sales executive"
Purchase/Vendor Development Manager,"sap,procurement,scm,material,sheetmetal,sheet metal,purchase,VD,vendor development,sourcing,BOP"
Software Developer,"Angularjs,CSS,Core Java,DOM,Computer Science,Javascript,HTML,Spring,Ajax"
Other,"data analysis,Admissions,placements,Help Desk,access controls,Asset Management"
Sales/Business Development Manager,"marketing,bdm,sales,business development,it sales,ncr,hardware sales"
Associate/Senior Associate -(Technical),"Outbound,Night shift,Service,English,process,Technical,Technical support,Inbound calls,Voice process,Group"
Service/Maintenance Engineer,"RT,PT,MPI,NDT Inspection,NDT Level,Diploma,Quality Inspection,Level Ii,Inspection Engineering,Mechanical Engineering,UT"
Associate/Senior Associate -(NonTechnical),"Customer service,Healthcare,Customer relationship,Windows,Graphic designing,CAD,Illustrator,Customer satisfaction,Application software"
Associate/Senior Associate -(NonTechnical),"BPO,any graduate,Voice Process,Voice Support"
Associate/Senior Associate -(Technical),"Outbound,Antivirus,Comp,Technical support,Technical Support Associate,technical sales associate,Sales,Technical Associate,Voice support,Inbound calls"
Head/VP/GM-Production/Manufacturing/Maintenance,"Equipment Maintenance,Hydraulics,Inventory Management,Management Skills,Maintenance Head,Electricals"
Software Developer,"hive,apache,itil process,hadoop,big data,aws,core java"
Sales/Business Development Manager,"motor insurance,insurance sales,insurance broking,general insurance"
Team Lead/Technical Lead,"SQL,Hibernate,Multithreading,OOAD,Eclipse,Business process,Outsourcing,Version control,Memory management,Control system"
Senior Design Engineer,"CATIA,AutoCAD,Pressure vessels,Mechanical,Primavera,PSCAD"
Purchase/Vendor Development Manager,"Team Management,Project Execution,Program Management,Customer Experience,Data Analytics,Supply Chain,Operations Planning"
Sales/Business Development Manager,"business development management,Sales Management"
Associate/Senior Associate -(Technical),"Technical support,Outbound,Comp,Technical,Domestic BPO,US shift,process,Inbound calls,Bonus"
Front Office/Guest Relations Executive/Manager,"Operations,Inventory Management,Vendor Management,Bhm,Hospitality,Front Office,Guest Relations,Hospitality Management,hotel management"
Software Developer,"financial s,windows,android,mobile development"
Software Developer,"Hardware Board Design,Mixed Signal,Design Engineering"
Head/VP/GM-Operations,"environment,functional,operations,business,verbal communication,coaching,analytical skills"
Recruitment Executive,"Screening,Linkedin,IT Recruitment,hr recruitment,Database,recruiter,Sourcing,Interviewing,Recruitment"
Software Developer,"java,linux,server,development,eclipse ide,c,technical,mobile,eclipse,objective c,usability,ui,design,debugging,backend,developer,programming,applications"
Counter Sales,"Retail Sales,Sales Executive Activities,Revenue Generation,Inhouse Sales"
Associate/Senior Associate -(NonTechnical),"BPO,Customer Support,international bpo,Voice Process,International Voice,International Voice Process"
Team Lead/Technical Lead,"J2Ee,Core Java,jQuery,ERP,Tomcat,Eclipse,Open source,Selenium,Computer science,OFBIZ"
Physics Teacher,"Counselor,Mentor,Trainer,Advisor,Teaching"
Sales/Business Development Manager,"lead generation,branding,business development,Sales Management,market research,competitive intelligence,market analysis,Marketing"
Design Engineer,"Wireless,Automation,Simulation,Networking,Aerospace,FPGA,Coding,System verilog,Automotive,Physical design"
Recruitment Executive,"hr,recruitment,recruiter,hiring,head hunting,leadership,mass hiring,volume hiring,bulk hiring,team leader,senior,tl,non it,it recruitment,technical hiring,it recruiter,bfsi,engineering,manufacturing,insurance,bpo,IT"
Accounts Executive/Accountant,Associate
Software Developer,"javascript,html,sql server,ajax,jquery,soa,oop,english,proactive,asp net c"
Sales/Business Development Manager,"marketing executive,Sales,distributors,customer profiling,sales strategy,market research,Business Development,sales executive"
Logistics Executive,"QMS,Impex,Environmental Management System,Warehouse Management System,Export Import Logistics"
Software Developer,"Java,core java,J2EE,Hibernate,Spring,LDAP,ADFS,Json,SOAP,jQuery,REST,Javascript,Java Web Services,Java Api,Advanced Java,MVC,Web Services,Open Source,SOA,Cloud,spring integration"
Software Developer,"spring boot,spring security,spring mvc"
Technical Architect,"Dynamics CRM,.Net,Azure,Visual Studio,Microsoft Dynamics,Solution Management,Root Cause,microservices,.NET development"
Sales/Business Development Manager,"Marketing Strategy,Strategic Thinking,Interpersonal Communication,Sales,Promotions,Accounting,Account Management,Team Leading,Business Development Management,Advertising"
Accounts Executive/Accountant,"O2C,OTC,Order Management,Credit Management,Communication Skills"
Architect,"visualization,m e p,modeling,drafting,design development,drawings,cad,preparation,quality"
Senior Design Engineer,"pnr,primetime,sta,floorplan,timing closure,synthesis,vlsi,Physical design,floor planning"
Purchase Executive,Assistant Manager Purchase
Software Developer,"SQL,Python,Analytics,Machine learning,Solution architecture,Analytical,SCALA,Cosmos,Programming,Data warehousing"
Quality Assurance/Quality Control Manager,"BPO,Transactional Quality,Quality Management,Quality manager,manager Quality"
Technical Support Engineer,"IIS,Exchange Server,Windows Server,WSS,Sharepoint,Active Directory"
Sales/Business Development Manager,"pharma chemicals,business development,api,intermediates,sales"
Team Lead/Technical Lead,"Hibernate,Design Patterns,Cloud,Spring Boot,Team Leader,core java,Web Services,Microservices"
DBA,"Exadata,performance tuning,11g,patching,sql,dataguard,rac,cassandra,oracle database,Weblogic,ebs,asm,apps dba,cloning"
Pharmacist/Chemist/Bio Chemist,"hospital,pharma,pharmacy"
Sales/Business Development Manager,"Sales,insurance sales,agency sales,Direct sales,life advisor,channel sales,life insurance advisor,life insurance,agency"
Technical / Process Trainer,"Training Needs,Soft Skills,Accent,HR,Feedback,Coaching,Customer Service,Process Compliance"
Project Manager-Production/Manufacturing/Maintenance,"Real Estate Construction,Project Management,Interpersonal Communication,Communication Skills,Project Manager,Project Coordinator,site coordinator"
Associate/Senior Associate -(NonTechnical),"international bpo,Chat Process,voice based process,tele caller,process developer,Sales,b.a,exl,communication skills,Ba,Blended Process,bba,wipro,tcs,bbm,customer support,bcom,cse,accenture,Fresher,wns"
Customer Support Engineer/Technician,"project support,Banking,Maya,E-commerce,big data"
System Administrator,"Networking,It Asset,Antivirus,Hardware Troubleshooting"
Purchase/Vendor Development Manager,"Procurement,Business process,IT services,Automation,data services,Master data management,Consulting,Vendor,Troubleshooting,Business Executive"
Associate/Senior Associate -(NonTechnical),"Recruitment,Outbound,Technical support,English,Comp,Email,Troubleshooting,Domestic BPO,International BPO,Inbound calls"
Graphic/Web Designer,"Photoshop,Illustrator,Fine arts,Software design,User interface designing,game development,creative content,Supervision,Relationship Executive,Business Executive"
Associate/Senior Associate -(NonTechnical),"marketing,project management,PR,project planning"
Project Manager-IT/Software,"Leadership training,Software development life cycle,Management"
Software Developer,"Python,Six Sigma,PMP,.NET,HTML,JavaScript,SQL,Oracle,assembly language,Real Time Operating Systems"
Subject Matter Expert,"apache camel,Administration,Technical Support,redhat,Activemq"
Branch Manager/Regional Manager,"customer profiling,market research,sales executive,marketing executive,distributors,sales strategy,Business Development"
Product/Brand Manager,"customer segmentation,Brand management,Strategic partnerships,Brand marketing,Consumer insights,Performance appraisal,Operations,Promotional strategies,Marketing strategy,Recruitment"
Functional Outside Consultant,"Negotiation,Marine Operation,Oracle Fusion,Manufacturing,Inventory"
Safety Officer/Manager,"Fire Safety,fire,Senior Management"
Software Developer,"Unix,data science,SQL,Linux,SAS,HTML,Perl,SDLC,Android,Python"
"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent","Installation,Breakdown Maintenance,Preventive Maintenance"
